NAV Date,NAV (Rs)
03-09-2024,157.535
02-09-2024,157.319
31-08-2024,157.716
30-08-2024,157.718
29-08-2024,156.356
28-08-2024,156.552
27-08-2024,156.484
26-08-2024,155.966
23-08-2024,155.152
22-08-2024,155.122
21-08-2024,154.642
20-08-2024,153.687
19-08-2024,152.563
16-08-2024,151.797
14-08-2024,149.132
13-08-2024,149.352
12-08-2024,150.324
09-08-2024,150.075
08-08-2024,148.425
07-08-2024,149.106
06-08-2024,146.158
05-08-2024,147.155
02-08-2024,151.645
01-08-2024,152.484
31-07-2024,152.772
30-07-2024,152.223
29-07-2024,151.589
26-07-2024,150.885
25-07-2024,148.741
24-07-2024,148.798
23-07-2024,147.97
22-07-2024,148.21
19-07-2024,147.47
18-07-2024,149.721
16-07-2024,150.017
15-07-2024,150.052
12-07-2024,149.252
11-07-2024,148.582
10-07-2024,148.032
09-07-2024,148.493
08-07-2024,147.815
05-07-2024,147.557
04-07-2024,146.8
03-07-2024,146.42
02-07-2024,145.438
01-07-2024,145.64
30-06-2024,144.065
28-06-2024,144.069
27-06-2024,143.781
26-06-2024,143.38
25-06-2024,143.132
24-06-2024,142.551
21-06-2024,142.01
20-06-2024,142.031
19-06-2024,141.349
18-06-2024,141.804
14-06-2024,141.312
13-06-2024,140.43
12-06-2024,139.639
11-06-2024,138.871
10-06-2024,138.516
07-06-2024,137.953
06-06-2024,135.731
05-06-2024,133.512
04-06-2024,129.117
03-06-2024,138.362
31-05-2024,135.026
30-05-2024,134.619
29-05-2024,136.091
28-05-2024,136.419
27-05-2024,137.11
24-05-2024,136.911
23-05-2024,136.614
22-05-2024,135.327
21-05-2024,135.255
17-05-2024,134.659
16-05-2024,132.787
15-05-2024,131.846
14-05-2024,131.127
13-05-2024,130.182
10-05-2024,129.848
09-05-2024,128.852
08-05-2024,130.801
07-05-2024,129.959
06-05-2024,131.823
03-05-2024,133.241
02-05-2024,133.774
30-04-2024,132.707
29-04-2024,132.236
26-04-2024,131.715
25-04-2024,131.683
24-04-2024,130.633
23-04-2024,129.843
22-04-2024,129.094
19-04-2024,127.794
18-04-2024,127.712
16-04-2024,128.051
15-04-2024,127.693
12-04-2024,129.08
10-04-2024,130.094
09-04-2024,129.648
08-04-2024,129.645
05-04-2024,128.613
04-04-2024,128.042
03-04-2024,127.629
02-04-2024,127.358
01-04-2024,126.736
31-03-2024,125.052
28-03-2024,125.055
27-03-2024,124.15
26-03-2024,123.591
22-03-2024,123.094
21-03-2024,122.133
20-03-2024,119.668
19-03-2024,119.23
